project_id,company_id,project_name,start_date,completion_date,project_status,automation_type,robots_deployed,budget_usd,annual_savings_usd,roi_percent,department,implementation_partner,country,industry,employee_hours_saved,ai_enabled,cloud_deployment
PRJ042290,CMP08852,Aurora Platform,2020-09-21,2021-10-21,Completed,Customer Onboarding,129,2139838,1942973,90.8,Human Resources,Mphasis,Australia,Retail & E-Commerce,6145,Yes,No
PRJ029796,CMP00695,Lambda Platform,2025-06-02,,Active,Claims Processing,141,34137,86332,252.9,Supply Chain,Deloitte,Germany,Healthcare,26840,Yes,No
PRJ023421,CMP07585,Vector Digital Transformation,2022-07-22,,Active,Supply Chain,48,3639795,7436101,204.3,Human Resources,Mphasis,Canada,Retail & E-Commerce,5451,No,No
PRJ033937,CMP06167,Quantum Digital Transformation,2019-09-10,2020-06-10,Completed,Claims Processing,100,678670,1212783,178.7,Human Resources,Accenture,United Kingdom,Government & Public Sector,137562,Yes,No
PRJ041631,CMP00635,Delta Automation Initiative,2016-12-22,2017-05-22,Cancelled,Compliance Monitoring,22,1854179,3128000,168.7,Legal,Capgemini,Mexico,Manufacturing,198874,Yes,Yes
PRJ037348,CMP03055,Lambda Automation Initiative,2020-11-07,,Active,Payroll Processing,112,3815383,9984857,261.7,Customer Service,Tech Mahindra,Mexico,Retail & E-Commerce,135851,No,No
PRJ000945,CMP09394,Fusion Process Reengineering,2017-05-21,2018-01-21,Cancelled,Compliance Monitoring,180,580095,1178753,203.2,Marketing,Hexaware,Australia,Mining & Metals,22291,No,Yes
PRJ017370,CMP08014,Lambda Process Reengineering,2024-01-24,2024-05-24,Completed,Invoice Processing,6,892698,732905,82.1,Supply Chain,Cyient,Netherlands,Retail & E-Commerce,57036,Yes,No
PRJ035022,CMP00718,Fusion Accelerator,2022-05-18,2023-10-18,Completed,Customer Onboarding,180,4556078,6838673,150.1,Procurement,HCL Technologies,India,Education,46349,Yes,No
PRJ019509,CMP08497,Atlas Accelerator,2016-03-09,2017-04-09,Cancelled,Claims Processing,44,2936089,1168563,39.8,Customer Onboarding,Accenture,South Africa,Telecommunications,19865,Yes,No
PRJ007016,CMP07854,Vector Process Reengineering,2025-05-04,,Completed,Supply Chain,179,2282694,5845979,256.1,Customer Service,Infosys,Singapore,Telecommunications,37194,No,Yes
PRJ024149,CMP08867,Titan Workflow Engine,2017-07-24,2019-05-24,Completed,Claims Processing,152,702669,1793914,255.3,Audit,Cyient,France,Technology,104530,Yes,Yes
PRJ014243,CMP07451,Vertex Digital Transformation,2020-04-29,,Active,Compliance Monitoring,75,4027823,8265093,205.2,Audit,Accenture,Singapore,Transportation & Logistics,126962,Yes,Yes
PRJ030092,CMP09194,Horizon Automation Initiative,2022-11-23,,Paused,Payroll Processing,194,3646660,1119525,30.7,Supply Chain,HCL Technologies,Netherlands,Insurance,105329,Yes,Yes
PRJ020672,CMP06438,Horizon Process Reengineering,2024-06-23,2024-11-23,Completed,Supply Chain,30,1056392,2371600,224.5,Risk Management,Capgemini,Singapore,Real Estate,69880,Yes,No
PRJ023077,CMP07998,Nexus Optimization Program,2025-01-17,,Completed,Customer Onboarding,184,2035139,5596632,275.0,Content Moderation,Tech Mahindra,Malaysia,Insurance,71819,Yes,No
PRJ031139,CMP03919,Vertex Optimization Program,2022-02-23,2023-02-23,Completed,Customer Onboarding,24,1070365,2823623,263.8,Human Resources,Accenture,France,Education,75885,No,Yes
PRJ003277,CMP03808,Lambda Workflow Engine,2025-10-21,,Completed,Supply Chain,174,2799412,2093960,74.8,Content Moderation,Tech Mahindra,India,Mining & Metals,11048,Yes,No
PRJ003652,CMP06937,Eclipse Process Reengineering,2015-08-05,,Active,IT Service Management,157,3187243,8570496,268.9,Risk Management,Infosys,United Kingdom,Healthcare,20524,Yes,No
PRJ010328,CMP03174,Vector Workflow Engine,2018-06-23,,Active,Payroll Processing,103,4017981,2495166,62.1,Audit,Capgemini,Vietnam,Telecommunications,52988,No,Yes
PRJ004194,CMP09178,Sigma Modernization,2018-02-18,,Failed,Audit Automation,152,4126502,0,-80.9,Legal,Infosys,Australia,Telecommunications,61308,No,No
PRJ026865,CMP01664,Horizon Optimization Program,2019-03-28,,Active,IT Service Management,80,3341110,3822230,114.4,Supply Chain,Tech Mahindra,Brazil,Education,160436,Yes,Yes
PRJ031696,CMP08627,Apex Process Reengineering,2016-05-25,,Active,Email Automation,114,3583039,2250148,62.8,Risk Management,Cyient,Philippines,Education,80752,No,Yes
PRJ005555,CMP02501,Zenith Intelligence Suite,2023-12-08,2025-12-08,Completed,Email Automation,18,3839652,7855928,204.6,Supply Chain,Cognizant,Philippines,Healthcare,188601,Yes,No
PRJ022845,CMP03747,Vector Automation Initiative,2021-12-09,,Active,HR Automation,133,3898065,1239585,31.8,Customer Service,Deloitte,Australia,Retail & E-Commerce,117324,Yes,No
PRJ016966,CMP04843,Sentinel Modernization,2016-09-27,,Active,Claims Processing,198,3055687,6135819,200.8,Customer Onboarding,IBM,South Africa,Manufacturing,86539,Yes,No
PRJ035495,CMP01136,Eclipse Accelerator,2023-11-29,2025-07-29,Completed,Payroll Processing,122,925369,2646555,286.0,Marketing,IBM,Vietnam,Transportation & Logistics,120016,No,Yes
PRJ037742,CMP06471,Vertex Efficiency Project,2015-02-07,,Active,Payroll Processing,199,2392006,1631348,68.2,IT,Mphasis,United States,Real Estate,104559,Yes,Yes
PRJ030224,CMP01840,Delta Intelligence Suite,2020-07-13,2022-05-13,Completed,HR Automation,112,3785551,3914260,103.4,Risk Management,Capgemini,India,Real Estate,57016,Yes,No
PRJ039687,CMP03665,Vector Modernization,2016-04-10,2017-12-10,Completed,Invoice Processing,11,4195778,11945380,284.7,Customer Onboarding,PwC,Mexico,Insurance,5183,Yes,No
PRJ022865,CMP01260,Quantum Process Reengineering,2024-12-01,,Paused,Supply Chain,57,4922725,13670407,277.7,Supply Chain,Infosys,Canada,Education,156321,No,No
PRJ028487,CMP00547,Horizon Optimization Program,2018-03-26,,Failed,Compliance Monitoring,52,963948,0,-2.2,Legal,EY,Philippines,Healthcare,102218,No,No
PRJ009409,CMP08622,Nexus Automation Initiative,2019-05-31,,Active,Payroll Processing,133,1840027,5218317,283.6,Legal,PwC,Germany,Healthcare,117441,No,No
PRJ022548,CMP07906,Prism Modernization,2017-09-25,2019-07-25,Completed,Payroll Processing,138,141513,253167,178.9,Customer Onboarding,HCL Technologies,India,Mining & Metals,64981,No,Yes
PRJ015690,CMP07195,Vector Accelerator,2024-05-13,2025-05-13,Completed,Data Entry Automation,137,3958131,11850644,299.4,Procurement,PwC,Germany,Education,98633,No,No
PRJ012372,CMP07052,Orion Efficiency Project,2023-02-26,,Active,Email Automation,42,3643194,7749074,212.7,Supply Chain,Tech Mahindra,France,Insurance,49041,No,No
PRJ040581,CMP04544,Eclipse Platform,2021-01-29,,Paused,HR Automation,40,1698134,2864752,168.7,Audit,Deloitte,United Kingdom,Energy & Utilities,53408,No,No
PRJ048499,CMP01885,Vector Efficiency Project,2020-10-30,,Failed,HR Automation,177,2267802,0,-86.7,Customer Service,LTIMindtree,Mexico,Pharma & Life Sciences,126340,No,Yes
PRJ027040,CMP05804,Quantum Process Reengineering,2022-01-08,2022-04-08,Completed,Claims Processing,56,4146249,9382961,226.3,Human Resources,EY,Mexico,Transportation & Logistics,10749,No,No
PRJ011745,CMP03010,Vector Workflow Engine,2019-10-01,2020-06-01,Completed,Claims Processing,10,4744301,1205052,25.4,Risk Management,HCL Technologies,Germany,Real Estate,126268,Yes,No
PRJ047888,CMP07685,Sentinel Modernization,2015-12-09,,Paused,Email Automation,195,1248443,1071164,85.8,Procurement,EY,Philippines,Real Estate,112362,No,No
